athlete_name,athlete_id,avg_cmj_relative_propulsive_impulse,avg_cmj_propulsive_time,avg_cmj_jump_height,avg_cmj_propulsive_force,avg_cmj_propulsive_velocity,avg_cmj_propulsive_power,avg_sj_relative_propulsive_impulse,avg_sj_propulsive_time,avg_sj_jump_height,avg_sj_propulsive_force,avg_sj_propulsive_velocity,avg_sj_propulsive_power
David Clarke,SHIzyJ0tT04rsOiQVIEn,2.826295945945947,0.2808716216216217,0.4023533783783785,1804.9520195945952,1.707479054054054,2808.5128101351365,2.5698371134020617,0.3526701030927835,0.33530927835051544,1553.9727092783505,1.0703680412371135,1807.416446391753
Jerry Torres,U3K0gK8GnbizUn5lFyZY,2.4630619354838705,0.341658064516129,0.31395677419354834,1234.5496503225804,1.3581070967741935,1620.9003516129037,2.296995454545454,0.3764090909090909,0.2688295454545455,1149.538875,1.1126772727272727,1302.3787863636362
Noah Whittaker,NesSDtlOQO2NtJKzBPQ2,2.9571922077922084,0.2701168831168831,0.4408974025974025,1830.443238961039,1.8088259740259731,2988.0767116883126,2.567706578947369,0.3148815789473683,0.34243684210526326,1592.1995684210522,1.1779907894736843,1975.2691842105262
Carter Wright,WjrdzazFh70VTy9PWhMh,3.0502338709677423,0.2754354838709678,0.46927741935483874,1564.8639193548381,1.7678951612903229,2560.7983516129034,2.75626170212766,0.31946808510638297,0.383272340425532,1381.6770553191488,1.2879021276595743,1833.4124510638296
Max Cunningham,BdanmOGvdpl5bFyWM9yW,2.9142261538461542,0.32227692307692307,0.4289323076923078,1346.189264615384,1.6715276923076925,2113.350236923077,2.6726473684210523,0.3797894736842105,0.36682631578947367,1246.4544157894736,1.1826,1563.0417999999997
Nathan Choi,pt7OIPBxFZZGokq0RUXQ,2.9240126984126977,0.2669206349206349,0.43148968253968245,1441.4328198412704,1.754210317460318,2307.688499999999,2.75824756097561,0.31928048780487805,0.38483170731707306,1268.6532402439018,1.3359219512195122,1719.6689121951222
Ryan Johnson,guRwV4kftjsFAt3BsXQG,3.0505711111111107,0.3177333333333333,0.4692088888888889,1585.9299888888888,1.734395555555555,2581.9008999999996,2.92343125,0.390875,0.43551249999999997,1416.14325,1.2606375,1913.6307687499998
Christian Louie,yTBGXlph0Nd2ij6uQ35y,3.1823296610169494,0.3324661016949153,0.510973728813559,1414.6596118644068,1.7693313559322033,2374.056684745763,3.0095495726495733,0.4199999999999999,0.4636820512820512,1240.5861153846151,1.2795786324786322,1712.0954239316238
Michael Balderas,WxDURyABERHknBayvmi9,2.8651256410256405,0.29153846153846147,0.41347179487179503,1686.1792435897444,1.7035538461538464,2639.5520666666666,2.479848275862069,0.3510000000000001,0.31735517241379313,1451.3539758620695,1.0375896551724137,1644.8981965517241
Jake Cacciaroni,3EimnDD5ZR129lIxV55H,2.7844160839160828,0.2973146853146854,0.39143356643356647,1439.853435664335,1.630572027972028,2177.178481118881,2.5559448000000002,0.3608240000000001,0.33537119999999987,1262.9552472000005,1.149964,1528.5092015999996
Joel Reyes,TvOx3JENt8L8iBZO6NHq,2.9997199999999995,0.3130666666666666,0.4540066666666666,1296.1106733333334,1.739373333333333,2098.56292,2.8557363636363644,0.42263636363636353,0.4167090909090909,1101.4066363636364,1.310627272727273,1500.6829363636366
Teru Khan,xwh4dF7abDCZ1GUIbhe6,3.213595833333334,0.2969583333333333,0.5221208333333334,1363.2865875000002,1.7252375000000004,2265.175637500001,2.982608333333333,0.42620833333333336,0.45555833333333334,1102.8640458333332,1.2832500000000002,1517.2025083333335
Luke Canabou,igJ9mUM98RPf6VoUyZJi,2.4639945945945945,0.353054054054054,0.3054324324324325,1685.977635135135,1.5292621621621623,2366.8948243243253,2.2135793103448274,0.3901379310344828,0.2503068965517241,1547.410093103448,1.1348827586206895,1745.784441379311
Oliver Mcnamara,5xTj9vKllMl2a1KdK1sM,2.645107499999999,0.26907500000000006,0.35222250000000005,1769.1361575000003,1.6744050000000001,2645.698115,2.4383199999999996,0.33212,0.30232400000000004,1548.020348,1.1303919999999998,1811.9585120000002
Chris Bautista,1wGUwvHwxDqr5pgoEexC,2.918993103448277,0.2661206896551724,0.4302293103448275,1383.5289913793104,1.6374224137931035,2133.5606327586206,2.6510857142857143,0.2982857142857143,0.3594928571428571,1221.1621714285714,1.29205,1605.7999214285717
Ashton Fagan,26YvrZaFC8t3i6NquuFn,2.987423577235774,0.33391056910569106,0.4505691056910568,1484.981406097561,1.7028853658536591,2377.363682520326,2.7555342592592598,0.48672222222222206,0.38933888888888885,1198.9258935185183,1.1438546296296295,1480.7985509259265
Landon Lockhart,0lVYQobKr77vINZFYQJf,2.3379845070422545,0.26846478873239427,0.2750225352112676,982.8884295774649,1.3756112676056336,1254.256822535211,2.183763043478262,0.3135434782608697,0.24231739130434785,893.6555304347822,0.987545652173913,921.8171999999997
Ryan Lee,8lsvcKTgUrIk2uGBFRhU,2.604618309859154,0.31138028169014065,0.34151126760563383,1002.723149295775,1.5791366197183099,1453.329563380282,2.4640550000000006,0.4018666666666667,0.30776666666666663,878.1590350000002,1.2090383333333332,1070.1103316666663
Alex Gomez,dcnsByoP1OW9hFsbFXQr,2.5530301886792452,0.2632075471698113,0.3286830188679245,1907.3230471698114,1.53677358490566,2680.340515094339,2.267104651162791,0.33551162790697675,0.2693953488372094,1649.3298116279068,1.0704813953488372,1833.9412511627902
Bobby Smith,FDZD0LI0FEByYKz0c6q3,3.086797619047619,0.257952380952381,0.48096190476190487,1707.6689999999999,1.8175452380952382,2839.28970952381,2.561092307692308,0.268,0.33642307692307694,1519.1128384615383,1.2453076923076922,1931.0115000000003
Sean DeBoard,fpmPI4wr0XiJ3WBApYas,2.844910714285714,0.2631785714285715,0.40843928571428567,1931.8048714285717,1.6602357142857145,2965.9364178571427,2.7012949999999996,0.33290000000000003,0.37376000000000004,1666.1087999999995,1.176795,2103.4563249999997
Jameson Rios,Nwj1IG0ayAX5P5Gn0uLN,3.0016750000000005,0.3677261904761905,0.4548035714285714,1577.4765035714288,1.5550404761904761,2410.8598428571427,2.749990361445783,0.45772289156626494,0.38655903614457826,1387.99041566265,0.9411759036144581,1541.1411156626507
Aarav Chugh,Wo3lRPAR2tq7acUepXAi,2.576143589743589,0.3116153846153847,0.3341384615384615,1399.0465076923078,1.572946153846154,2015.2992256410253,2.2328085714285715,0.3676857142857143,0.25419714285714284,1236.365597142857,1.1425685714285712,1403.8130857142858
Evan Mendoza,K7THsxmsEzLx0ZnnOcOb,3.193189655172415,0.27677586206896554,0.5152689655172412,1613.1510689655174,1.7321706896551727,2675.2080310344836,2.952247368421053,0.3867894736842105,0.44117368421052633,1288.076715789474,1.2011526315789474,1700.8198789473684
Kaden Taque,QIsVuTYZFFM0JcPjAgYz,3.2879533333333337,0.3294666666666667,0.5454933333333334,1654.59108,1.9661733333333333,2980.8046,2.8677357142857143,0.32900000000000007,0.4192285714285714,1555.1014214285715,1.2678285714285715,2097.594785714286
George Willey,FAw2wyi8Xayl2BwUVPTt,2.7748243902439027,0.2919756097560975,0.3908682926829268,1505.6293829268288,1.6743268292682925,2297.524868292682,2.528752,0.30455999999999994,0.32516399999999995,1409.756848,1.1867959999999997,1723.7746240000001
Brody Gates,Xo48Etuv78Kh94aUmVFQ,2.8425736363636345,0.2819818181818181,0.40702999999999995,1189.1118963636363,1.74113,1874.8472454545463,2.663550980392157,0.35005882352941187,0.36528039215686275,1040.8913843137252,1.16801568627451,1301.116970588235
Daniel Madrigal,VJV2ibLRBUHqb6Evjpja,2.894025,0.3029,0.42177499999999996,1906.2111149999994,1.7118600000000002,3008.19762,2.7117722222222223,0.38183333333333336,0.37324999999999997,1659.8380444444444,1.342827777777778,2238.7840222222226
John Damozonio,QqBe38IrNwulH18BPELV,3.0475133333333337,0.28533333333333333,0.4686200000000001,2094.091103333333,1.8455499999999998,3507.883013333333,2.8672916666666666,0.36529166666666674,0.4136583333333333,1793.3466416666663,1.4776458333333335,2606.008795833334
Jace Asuncion,1x6xnG3VX7dvEM9JGzKQ,2.9596649999999998,0.267475,0.44175,1081.384155,1.6771325000000004,1696.8833199999995,2.7808863636363634,0.37831818181818183,0.39407727272727266,894.0232545454546,1.1956863636363637,1146.8241409090908
Noah Holocher,THhTxaDfCg9pkopiSIGS,2.893575229357799,0.28430275229357804,0.4223155963302753,1287.4904064220177,1.6820926605504591,2007.9441055045868,2.7121774193548385,0.35377419354838696,0.37606344086021504,1124.6956763440858,1.190210752688173,1426.753155913978
Jack Emery,YTqUTPApsyrjyId6eU5K,2.616533846153846,0.3261230769230769,0.34671230769230776,1318.3592215384617,1.5302384615384617,1883.3907507692313,2.4468541666666668,0.3764583333333333,0.30663333333333337,1207.5523187499998,1.1051541666666667,1400.89528125
Chris Vallejo,vvS41SrydZvoxvi4abOe,2.7263947368421046,0.2721578947368421,0.3748684210526316,1425.8415263157895,1.520657894736842,2051.7631315789477,2.528892857142857,0.48028571428571426,0.33022857142857137,1082.1258,1.0968214285714284,1260.7411857142858
Hunter Tamayo,DHfDrMtIudHLi3suhxLk,2.6216273972602733,0.26889041095890415,0.3462452054794522,1686.7729027397256,1.5683780821917803,2424.724609589041,2.430732142857143,0.38925,0.29998571428571424,1405.7915821428574,1.2234285714285715,1714.8800714285715
Michael Nam,iWEJBwpMCsFo0ToXgPX1,2.9167641025641022,0.3195128205128206,0.4294615384615385,1164.4420307692305,1.6231897435897435,1796.0432128205127,2.5664666666666665,0.38975000000000004,0.3398666666666667,1020.021675,1.1623333333333332,1243.1490666666666
Ryan Leong,eXIqclLObo8662yON2uU,2.6661407407407407,0.32946296296296296,0.3585981481481482,1112.1398240740743,1.5328240740740737,1602.7297222222226,2.4972916666666665,0.37520833333333337,0.32212499999999994,1025.5645416666666,1.1322875000000001,1219.183104166667
Martin Gehlhar,MT8bW0ddW3ZuXe8izCih,2.9304887804878064,0.3512878048780488,0.43279658536585336,1636.4807375609762,1.3087936585365842,2254.9417512195105,2.6500333333333326,0.4093333333333334,0.36127666666666675,1487.3612800000003,0.9897899999999997,1687.5521499999998
 Riley Obara,QLcYxXYf0FhaPcIahSG2,2.8707876811594213,0.28074637681159414,0.41557681159420284,1239.678234057971,1.6701572463768113,1919.7433224637682,2.721908849557522,0.40191150442477874,0.3802433628318583,1028.6007327433624,1.168209734513275,1289.1680486725663
Taylor Heckman,KH8qCXGLVJ0gBEbmO0do,2.3927568627450984,0.3297254901960784,0.28774901960784316,1378.040060784314,1.5142764705882354,1897.2379176470586,2.2161821428571433,0.4338571428571429,0.25674642857142865,1210.8588107142857,1.073867857142857,1330.437135714286
